Temperature,Lysozyme 0mgml in PBS buffer,Lysozyme 10mgml in PBS buffer,Lysozyme 20mgml in PBS buffer
41.377,-0.354262,-0.347757,-0.343818
41.385,-0.354262,-0.347758,-0.343818
41.394,-0.354262,-0.347758,-0.343819
41.402,-0.354261,-0.347758,-0.343819
41.41,-0.354262,-0.347758,-0.34382
41.418,-0.354262,-0.347758,-0.343822
41.427,-0.354263,-0.347758,-0.343822
41.435,-0.354263,-0.347758,-0.343823
41.443,-0.354264,-0.347758,-0.343823
41.452,-0.354264,-0.347757,-0.343823
41.461,-0.354265,-0.347757,-0.343824
41.469,-0.354266,-0.347757,-0.343824
41.477,-0.354266,-0.347757,-0.343823
41.485,-0.354266,-0.347758,-0.343824
41.494,-0.354266,-0.347759,-0.343824
41.502,-0.354266,-0.34776,-0.343824
41.511,-0.354267,-0.347762,-0.343825
41.518,-0.354267,-0.347763,-0.343826
41.527,-0.354268,-0.347766,-0.343826
41.536,-0.354269,-0.347767,-0.343827
41.544,-0.354269,-0.347767,-0.343827
41.552,-0.35427,-0.347766,-0.343828
41.56,-0.35427,-0.347766,-0.343828
41.569,-0.354271,-0.347765,-0.343828
41.577,-0.354272,-0.347764,-0.343829
41.585,-0.354272,-0.347763,-0.343829
41.594,-0.354272,-0.347763,-0.34383
41.602,-0.354272,-0.347763,-0.34383
41.611,-0.354272,-0.347764,-0.343831
41.619,-0.354272,-0.347766,-0.343832
41.628,-0.354273,-0.347768,-0.343833
41.636,-0.354273,-0.34777,-0.343835
41.644,-0.354273,-0.347771,-0.343836
41.652,-0.354274,-0.347772,-0.343837
41.661,-0.354275,-0.347772,-0.343839
41.669,-0.354277,-0.347772,-0.34384
41.677,-0.354277,-0.347773,-0.343841
41.686,-0.354278,-0.347773,-0.343841
41.694,-0.354279,-0.347774,-0.343841
41.702,-0.354279,-0.347775,-0.343841
41.711,-0.354279,-0.347775,-0.34384
41.719,-0.354279,-0.347775,-0.343838
41.727,-0.354279,-0.347774,-0.343837
41.736,-0.354279,-0.347773,-0.343838
41.744,-0.354278,-0.347772,-0.343839
41.752,-0.354278,-0.347771,-0.343841
41.761,-0.354279,-0.34777,-0.343843
41.769,-0.354279,-0.347771,-0.343846
41.777,-0.354279,-0.347772,-0.343848
41.786,-0.35428,-0.347773,-0.343849
41.794,-0.35428,-0.347773,-0.34385
41.802,-0.354281,-0.347774,-0.34385
41.811,-0.354282,-0.347774,-0.34385
41.819,-0.354284,-0.347775,-0.34385
41.827,-0.354285,-0.347777,-0.343851
41.836,-0.354286,-0.347779,-0.34385
41.844,-0.354287,-0.347781,-0.34385
41.853,-0.354287,-0.347782,-0.34385
41.861,-0.354288,-0.347784,-0.343851
41.869,-0.354289,-0.347785,-0.343852
41.878,-0.35429,-0.347786,-0.343854
41.886,-0.35429,-0.347786,-0.343855
41.894,-0.354289,-0.347785,-0.343857
41.902,-0.354288,-0.347784,-0.343858
41.911,-0.354288,-0.347783,-0.343859
41.919,-0.354288,-0.347782,-0.34386
41.927,-0.354288,-0.347781,-0.34386
41.936,-0.354289,-0.347782,-0.343861
41.944,-0.35429,-0.347782,-0.343861
41.953,-0.354291,-0.347783,-0.343861
41.961,-0.354292,-0.347783,-0.343861
41.969,-0.354293,-0.347784,-0.343861
41.978,-0.354294,-0.347785,-0.343861
41.986,-0.354294,-0.347785,-0.343861
41.994,-0.354294,-0.347786,-0.34386
42.003,-0.354293,-0.347786,-0.343859
42.011,-0.354293,-0.347786,-0.343859
42.019,-0.354293,-0.347786,-0.343858
42.028,-0.354294,-0.347785,-0.343858
42.036,-0.354295,-0.347784,-0.343857
42.044,-0.354296,-0.347783,-0.343856
42.053,-0.354297,-0.347783,-0.343855
42.061,-0.354299,-0.347783,-0.343855
42.069,-0.354301,-0.347782,-0.343856
42.078,-0.354302,-0.347782,-0.343857
42.086,-0.354303,-0.347781,-0.343857
42.094,-0.354304,-0.347781,-0.343857
42.103,-0.354304,-0.347781,-0.343858
42.111,-0.354305,-0.347781,-0.343858
42.119,-0.354305,-0.34778,-0.343858
42.127,-0.354305,-0.347779,-0.343858
42.136,-0.354306,-0.347778,-0.343858
42.144,-0.354307,-0.347778,-0.343858
42.153,-0.354308,-0.347778,-0.343858
42.161,-0.354308,-0.347778,-0.343858
42.169,-0.354309,-0.347778,-0.343858
42.178,-0.35431,-0.34778,-0.343859
42.186,-0.35431,-0.347781,-0.343858
42.194,-0.35431,-0.347782,-0.343858
42.203,-0.354308,-0.347784,-0.343858
42.211,-0.354308,-0.347786,-0.343858
42.219,-0.354309,-0.347788,-0.343858
42.228,-0.35431,-0.34779,-0.343858
42.236,-0.354311,-0.347791,-0.343857
42.245,-0.354313,-0.347793,-0.343857
42.253,-0.354315,-0.347794,-0.343857
42.261,-0.354316,-0.347794,-0.343857
42.269,-0.354318,-0.347794,-0.343858
42.278,-0.354318,-0.347793,-0.34386
42.286,-0.354319,-0.347793,-0.343861
42.294,-0.354319,-0.347792,-0.343861
42.303,-0.354319,-0.347791,-0.343862
42.311,-0.354319,-0.347791,-0.343862
42.32,-0.354319,-0.347791,-0.343863
42.328,-0.354319,-0.34779,-0.343863
42.336,-0.354319,-0.34779,-0.343863
42.345,-0.354319,-0.347792,-0.343863
42.353,-0.354319,-0.347793,-0.343863
42.361,-0.35432,-0.347795,-0.343862
42.37,-0.35432,-0.347797,-0.343862
42.378,-0.354321,-0.347799,-0.343862
42.386,-0.354322,-0.347801,-0.343862
42.394,-0.354322,-0.347802,-0.343861
42.403,-0.354322,-0.347804,-0.343861
42.411,-0.354321,-0.347805,-0.34386
42.419,-0.354321,-0.347805,-0.34386
42.428,-0.354321,-0.347805,-0.343859
42.436,-0.354321,-0.347805,-0.343859
42.444,-0.354323,-0.347805,-0.343859
42.453,-0.354324,-0.347805,-0.343859
42.461,-0.354326,-0.347805,-0.343859
42.469,-0.354328,-0.347805,-0.343859
42.478,-0.35433,-0.347804,-0.34386
42.486,-0.35433,-0.347803,-0.343861
42.495,-0.354329,-0.347803,-0.343862
42.503,-0.354329,-0.347801,-0.343863
42.511,-0.354328,-0.3478,-0.343864
42.52,-0.354327,-0.3478,-0.343864
42.528,-0.354327,-0.3478,-0.343864
42.536,-0.354327,-0.347801,-0.343863
42.545,-0.354327,-0.347802,-0.343862
42.553,-0.354327,-0.347804,-0.34386
42.561,-0.354327,-0.347805,-0.343858
42.57,-0.354328,-0.347806,-0.343858
42.578,-0.354328,-0.347807,-0.343858
42.586,-0.354328,-0.347808,-0.343857
42.594,-0.354328,-0.347808,-0.343857
42.603,-0.354327,-0.347807,-0.343857
42.611,-0.354328,-0.347806,-0.343859
42.62,-0.354329,-0.347805,-0.34386
42.628,-0.354329,-0.347805,-0.343861
42.636,-0.354329,-0.347805,-0.343861
42.645,-0.354329,-0.347806,-0.34386
42.653,-0.354329,-0.347807,-0.343859
42.662,-0.354329,-0.347808,-0.343858
42.67,-0.354329,-0.347808,-0.343856
42.678,-0.354329,-0.347809,-0.343854
42.686,-0.35433,-0.34781,-0.343852
42.695,-0.35433,-0.347811,-0.343852
42.703,-0.354331,-0.347812,-0.343852
42.711,-0.354331,-0.347812,-0.343852
42.72,-0.354332,-0.347813,-0.343853
42.728,-0.354332,-0.347814,-0.343853
42.736,-0.354332,-0.347815,-0.343854
42.745,-0.354332,-0.347816,-0.343855
42.753,-0.354332,-0.347816,-0.343855
42.761,-0.354332,-0.347817,-0.343856
42.77,-0.354332,-0.347818,-0.343856
42.778,-0.354332,-0.347819,-0.343857
42.786,-0.354333,-0.34782,-0.343858
42.795,-0.354334,-0.34782,-0.343858
42.803,-0.354335,-0.347821,-0.343858
42.812,-0.354335,-0.347821,-0.343858
42.82,-0.354334,-0.347821,-0.343857
42.828,-0.354335,-0.347821,-0.343858
42.836,-0.354335,-0.347821,-0.343858
42.845,-0.354335,-0.347821,-0.343857
42.853,-0.354335,-0.347821,-0.343856
42.861,-0.354335,-0.347822,-0.343855
42.87,-0.354336,-0.347823,-0.343854
42.878,-0.354337,-0.347823,-0.343853
42.887,-0.354338,-0.347823,-0.343852
42.895,-0.354339,-0.347823,-0.343851
42.904,-0.354339,-0.347823,-0.34385
42.911,-0.35434,-0.347822,-0.343851
42.92,-0.35434,-0.347822,-0.343851
42.928,-0.35434,-0.347821,-0.343852
42.937,-0.35434,-0.347822,-0.343852
42.945,-0.354339,-0.347823,-0.343853
42.953,-0.35434,-0.347824,-0.343854
42.962,-0.35434,-0.347825,-0.343854
42.97,-0.35434,-0.347827,-0.343854
42.978,-0.35434,-0.347828,-0.343855
42.986,-0.354339,-0.347829,-0.343855
42.995,-0.354337,-0.347829,-0.343855
43.003,-0.354337,-0.347829,-0.343855
43.012,-0.354337,-0.34783,-0.343854
43.02,-0.354338,-0.34783,-0.343854
43.028,-0.354339,-0.34783,-0.343853
43.037,-0.35434,-0.347831,-0.343853
43.045,-0.354342,-0.347831,-0.343853
43.053,-0.354344,-0.347832,-0.343853
43.062,-0.354345,-0.347832,-0.343853
43.07,-0.354347,-0.347832,-0.343853
43.078,-0.354348,-0.347832,-0.343854
43.087,-0.354348,-0.347832,-0.343854
43.095,-0.354349,-0.347832,-0.343854
43.103,-0.354351,-0.347831,-0.343854
43.112,-0.354352,-0.34783,-0.343853
43.12,-0.354353,-0.347829,-0.343852
43.129,-0.354353,-0.347828,-0.343851
43.137,-0.354354,-0.347826,-0.34385
43.145,-0.354355,-0.347825,-0.34385
43.154,-0.354356,-0.347824,-0.34385
43.162,-0.354356,-0.347823,-0.343851
43.17,-0.354357,-0.347822,-0.343852
43.178,-0.354357,-0.347821,-0.343853
43.186,-0.354357,-0.34782,-0.343854
43.195,-0.354357,-0.34782,-0.343854
43.203,-0.354356,-0.34782,-0.343854
43.212,-0.354355,-0.34782,-0.343853
43.22,-0.354355,-0.347821,-0.343852
43.229,-0.354355,-0.347821,-0.343852
43.237,-0.354356,-0.347823,-0.343852
43.245,-0.354357,-0.347825,-0.343852
43.254,-0.354357,-0.347827,-0.343853
43.262,-0.354358,-0.347829,-0.343854
43.27,-0.354359,-0.347831,-0.343857
43.278,-0.354359,-0.347832,-0.343858
43.286,-0.354359,-0.347832,-0.343859
43.295,-0.354358,-0.347832,-0.34386
43.303,-0.354357,-0.347831,-0.343861
43.312,-0.354357,-0.34783,-0.34386
43.32,-0.354357,-0.347828,-0.34386
43.328,-0.354357,-0.347827,-0.343859
43.337,-0.354357,-0.347827,-0.343859
43.345,-0.354357,-0.347828,-0.343859
43.353,-0.354356,-0.347828,-0.34386
43.361,-0.354356,-0.347828,-0.343861
43.37,-0.354357,-0.347828,-0.343861
43.378,-0.354358,-0.347829,-0.343862
43.386,-0.354359,-0.347829,-0.343862
43.395,-0.35436,-0.347829,-0.343863
43.403,-0.354361,-0.34783,-0.343863
43.412,-0.354363,-0.34783,-0.343864
43.42,-0.354364,-0.347831,-0.343864
43.428,-0.354365,-0.347831,-0.343866
43.437,-0.354366,-0.347832,-0.343867
43.445,-0.354365,-0.347833,-0.343869
43.453,-0.354365,-0.347834,-0.34387
43.462,-0.354364,-0.347836,-0.343871
43.47,-0.354363,-0.347836,-0.343873
43.478,-0.354361,-0.347836,-0.343875
43.487,-0.35436,-0.347837,-0.343878
43.495,-0.35436,-0.347838,-0.34388
43.503,-0.35436,-0.347838,-0.343881
43.512,-0.354361,-0.347838,-0.343882
43.52,-0.354362,-0.347838,-0.343882
43.529,-0.354363,-0.347838,-0.343882
43.537,-0.354364,-0.34784,-0.343882
43.545,-0.354365,-0.347841,-0.343882
43.553,-0.354366,-0.347842,-0.343882
43.562,-0.354366,-0.347842,-0.343882
43.57,-0.354366,-0.347842,-0.343883
