Q,scan1,scan2,scan3,scan1,scan2,scan3
56.61282,-14.61683,-14.8034,-14.62708,-14.61683,-14.8034,-14.62708
57.03166,-14.65932,-14.89083,-14.71787,-14.65932,-14.89083,-14.71787
57.44893,-14.67604,-14.90191,-14.73793,-14.67604,-14.90191,-14.73793
57.86577,-14.66201,-14.86827,-14.74314,-14.66201,-14.86827,-14.74314
58.28139,-14.64822,-14.82689,-14.74331,-14.64822,-14.82689,-14.74331
58.69717,-14.63533,-14.8002,-14.74184,-14.63533,-14.8002,-14.74184
59.11516,-14.62144,-14.78624,-14.74461,-14.62144,-14.78624,-14.74461
59.5306,-14.59989,-14.76619,-14.75433,-14.59989,-14.76619,-14.75433
59.94797,-14.58936,-14.75843,-14.78222,-14.58936,-14.75843,-14.78222
60.36487,-14.58683,-14.75211,-14.83181,-14.58683,-14.75211,-14.83181
60.77933,-14.59576,-14.74316,-14.88967,-14.59576,-14.74316,-14.88967
61.19171,-14.59302,-14.74935,-14.91021,-14.59302,-14.74935,-14.91021
61.60402,-14.6224,-14.77135,-14.94047,-14.6224,-14.77135,-14.94047
62.02055,-14.65205,-14.80095,-14.98777,-14.65205,-14.80095,-14.98777
62.43863,-14.676,-14.82302,-15.01563,-14.676,-14.82302,-15.01563
62.85553,-14.68694,-14.83423,-15.0461,-14.68694,-14.83423,-15.0461
63.27473,-14.70105,-14.83263,-15.09615,-14.70105,-14.83263,-15.09615
63.69253,-14.71444,-14.82161,-15.12541,-14.71444,-14.82161,-15.12541
64.10916,-14.73052,-14.81949,-15.14276,-14.73052,-14.81949,-15.14276
64.52446,-14.77169,-14.84069,-15.17027,-14.77169,-14.84069,-15.17027
64.94029,-14.81866,-14.85823,-15.21269,-14.81866,-14.85823,-15.21269
65.35513,-14.86131,-14.8837,-15.22554,-14.86131,-14.8837,-15.22554
65.77353,-14.90291,-14.87965,-15.20422,-14.90291,-14.87965,-15.20422
66.19277,-14.95501,-14.87075,-15.2172,-14.95501,-14.87075,-15.2172
66.61261,-14.98866,-14.86369,-15.21638,-14.98866,-14.86369,-15.21638
